voice,notes
sherpa:vctk:0,confirmed-good
sherpa:vctk:1,
sherpa:vctk:2,
sherpa:vctk:3,
sherpa:vctk:4,
sherpa:vctk:5,
sherpa:vctk:6,
sherpa:vctk:7,
sherpa:vctk:8,
sherpa:vctk:9,
sherpa:vctk:10,
sherpa:vctk:11,
sherpa:vctk:12,
sherpa:vctk:13,
sherpa:vctk:14,
sherpa:vctk:15,
sherpa:vctk:16,
sherpa:vctk:17,
sherpa:vctk:18,
sherpa:vctk:19,
sherpa:vctk:20,
sherpa:vctk:21,
sherpa:vctk:22,
sherpa:vctk:23,
sherpa:vctk:24,
sherpa:vctk:25,
sherpa:vctk:26,
sherpa:vctk:27,
sherpa:vctk:28,
sherpa:vctk:29,
sherpa:vctk:30,confirmed-good
sherpa:vctk:31,
sherpa:vctk:32,
sherpa:vctk:33,
sherpa:vctk:34,
sherpa:vctk:35,
sherpa:vctk:36,
sherpa:vctk:37,
sherpa:vctk:38,
sherpa:vctk:39,
sherpa:vctk:40,
sherpa:vctk:41,
sherpa:vctk:42,
sherpa:vctk:43,
sherpa:vctk:44,
sherpa:vctk:45,
sherpa:vctk:46,
sherpa:vctk:47,
sherpa:vctk:48,
sherpa:vctk:49,
sherpa:vctk:50,
sherpa:vctk:51,
sherpa:vctk:52,
sherpa:vctk:53,
sherpa:vctk:54,
sherpa:vctk:55,
sherpa:vctk:56,
sherpa:vctk:57,
sherpa:vctk:58,
sherpa:vctk:59,
sherpa:vctk:60,
sherpa:vctk:61,
sherpa:vctk:62,
sherpa:vctk:63,
sherpa:vctk:64,
sherpa:vctk:65,
sherpa:vctk:66,
sherpa:vctk:67,
sherpa:vctk:68,
sherpa:vctk:69,
sherpa:vctk:70,
sherpa:vctk:71,
sherpa:vctk:72,
sherpa:vctk:73,
sherpa:vctk:74,
sherpa:vctk:75,
sherpa:vctk:76,
sherpa:vctk:77,
sherpa:vctk:78,
sherpa:vctk:79,
sherpa:vctk:80,
sherpa:vctk:81,
sherpa:vctk:82,
sherpa:vctk:83,
sherpa:vctk:84,
sherpa:vctk:85,
sherpa:vctk:86,
sherpa:vctk:87,
sherpa:vctk:88,
sherpa:vctk:89,
sherpa:vctk:90,
sherpa:vctk:91,
sherpa:vctk:92,
sherpa:vctk:93,
sherpa:vctk:94,
sherpa:vctk:95,
sherpa:vctk:96,
sherpa:vctk:97,
sherpa:vctk:98,
sherpa:vctk:99,
sherpa:vctk:100,
sherpa:vctk:101,
sherpa:vctk:102,
sherpa:vctk:103,
sherpa:vctk:104,
sherpa:vctk:105,
sherpa:vctk:106,
sherpa:vctk:107,
sherpa:vctk:108,
